Nation,Player,Goals
Argentina,Lionel Messi,116
Argentina,Gabriel Batistuta,56
Argentina,Sergio Aguero,41
Belgium,Romelu Lukaku,89
Belgium,Kevin De Bruyne,36
Belgium,Eden Hazard,33
Brazil,Neymar,79
Brazil,Pele,77
Brazil,Ronaldo,62
France,Olivier Giroud,57
France,Kylian Mbappe,56
France,Thierry Henry,51
Germany,Miroslav Klose,71
Germany,Gerd Muller,68
Germany,Lukas Podolski,49
Uruguay,Luis Suarez,69
Uruguay,Edinson Cavani,58
Uruguay,Diego Forlan,36
Portugal,Cristiano Ronaldo,143
Portugal,Pauleta,47
Portugal,Eusebio,41
Spain,David Villa,59
Spain,Raul,44
Spain,Fernando Torres,38
England,Harry Kane,78
England,Wayne Rooney,53
England,Bobby Charlton,49
Netherlands,Memphis Depay,55
Netherlands,Robin van Persie,50
Netherlands,Klaas-Jan Huntelaar,42
Italy,Gigi Riva,35
Italy,Giuseppe Meazza,33
Italy,Silvio Piola,30